시설명,도로명 주소,지번 주소
명륜등심해장국 옥계점,경북 구미시 옥계북로1길 3-9,(지번) 옥계동 889-1
와가야카레,경북 구미시 옥계북로1길 7-12,(지번) 옥계동 882-1
카페은,경북 구미시 산호대로29길 13-14,(지번) 옥계동 837-12
청담초밥,경북 구미시 산호대로33길 17-5,(지번) 옥계동 741
명장화로,경북 구미시 옥계북로1길 7-7,(지번) 옥계동 881-2
옥계황태덕장,경북 구미시 산호대로31길 12-25,(지번) 옥계동 740-11
도담갈비,경북 구미시 산호대로29길 14-7,(지번) 옥계동 835-11
텐퍼센트커피 구미옥계점,경북 구미시 옥계북로 50 1층,(지번) 옥계동 732-3
오대감참가자미횟집,경북 구미시 산호대로29길 13-19 1층,(지번) 옥계동 831-3
노랑통닭 구미옥계점,경북 구미시 산호대로29길 20-14 1층,(지번) 옥계동 835-5
롯데리아 구미양포점,경북 구미시 옥계북로 7,(지번) 옥계동 890-1
김밥천국 나누리옥계1호점,경북 구미시 산호대로31길 14,(지번) 옥계동 731-3
심여사천북양념통닭,경북 구미시 옥계남로 79 1층,(지번) 옥계동 752-6
명륜진사갈비 구미옥계점,경북 구미시 산호대로29길 7-19 1층,(지번) 옥계동 838-1
해피치즈스마일 옥계점,경북 구미시 옥계신당로1길 21-36 2층,(지번) 옥계동 1189
곱창고 구미옥계점,경북 구미시 산호대로29길 9,(지번) 옥계동 840
북경양꼬치,경북 구미시 산호대로29길 19-7,(지번) 옥계동 837-4
고놈에불향쭈꾸미 옥계점,경북 구미시 옥계신당로5길 51-29 1층,(지번) 옥계동 1293
고봉민김밥인 구미옥계점,경북 구미시 옥계북로 50-1 102호,(지번) 옥계동 732-6
최권수쉐프의카페쿠미,경북 구미시 산호대로29길 20-7 1층 104호,(지번) 옥계동 833-3
한신포차 구미옥계점,경북 구미시 산호대로29길 13-4 1층,(지번) 옥계동 837-8
위대한양 옥계점,경북 구미시 산호대로29길 7-7 1층,(지번) 옥계동 844-3
두찜 구미옥계점,경북 구미시 산호대로33길 5 1층,(지번) 옥계동 738-8
짚불황소돌양곱창 옥계점,경북 구미시 산호대로29길 14-14,(지번) 옥계동 841-4
달봉이 떡볶이,경북 구미시 산호대로35길 18-1 1층 102호,(지번) 옥계동 788-1
등촌샤브칼국수 옥계점,경북 구미시 산호대로29길 7-24,(지번) 옥계동 839
92버터샵,경북 구미시 산호대로33길 18 1층,(지번) 옥계동 743-1
컵스엔식스피엠,경북 구미시 산호대로33길 6-26,(지번) 옥계동 735-6
설악본가 본점,경북 구미시 산호대로31길 12-21 1층,(지번) 옥계동 740-7
바우네나주곰탕 옥계점,경북 구미시 산호대로29길 14-11,(지번) 옥계동 835-9
5월에5시간,경북 구미시 산호대로31길 3 학서빌딩 2층,(지번) 옥계동 842-3
그엄마의그딸떡볶이,경북 구미시 옥계북로 28 1층,(지번) 옥계동 833-2
초원삼겹살 옥계점,경북 구미시 산호대로29길 8-16,(지번) 옥계동 843-6
꽃마름 구미옥계점,경북 구미시 산호대로24길 9-45 거상빌딩 2층,(지번) 옥계동 969
내고향보리밥김치찌개,경북 구미시 산호대로35길 12-5,(지번) 옥계동 795-6
신전떡볶이 옥계중앙점,경북 구미시 산호대로31길 16,(지번) 옥계동 731-2
착한고기 무한통삼 옥계점,경북 구미시 산호대로29길 19-11,(지번) 옥계동 837-2
미미짬뽕0927 옥계점,경북 구미시 산호대로29길 7-3,(지번) 옥계동 844-5
봉이동동 구미옥계점,경북 구미시 산호대로29길 9 1층,(지번) 옥계동 840
한촌설렁탕 구미옥계점,경북 구미시 산호대로29길 14-16,(지번) 옥계동 841-5
옥계석쇠불고기 옥계산동점,경북 구미시 옥계남로 76-18,(지번) 옥계동 870-2
설레다,경북 구미시 옥계북로10길 14,(지번) 옥계동 797-10
반올림피자샵 구미옥계점,경북 구미시 옥계남로5길 4-15,(지번) 옥계동 749-6
송도곰장어참숯막창,경북 구미시 산호대로25길 26-27,(지번) 옥계동 623-7
맘스터치 구미옥계점,경북 구미시 옥계북로 26 101호,(지번) 옥계동 833-1
삼첩분식 구미옥계점,경북 구미시 산호대로35길 12-31 1층 102호,(지번) 옥계동 797-5
본도시락 구미옥계점,경북 구미시 옥계북로 74,(지번) 옥계동 788-3
경양식1984,경북 구미시 옥계북로1길 7-1,(지번) 옥계동 888-3
더벤티 옥계4공단지점,경북 구미시 산호대로31길 15 1층 105호,(지번) 옥계동 834-4
인디안밥,경북 구미시 산호대로31길 8,(지번) 옥계동 739-2
땅스부대찌개 옥계점,경북 구미시 옥계북로 67 상가 1층 112호,(지번) 옥계동 909
빈카 구미점,경북 구미시 해마루공원로 21 2층,(지번) 구포동 1079
본가 구미옥계점,경북 구미시 산호대로29길 14-5,(지번) 옥계동 835-12
플루800 옥계점,경북 구미시 옥계북로 59 현진에버빌 상가동 1층 106호,(지번) 옥계동 909
서울 뼈해장국,경북 구미시 옥계남로5길 3-34,(지번) 옥계동 747-3
뚜레쥬르 구미옥계점,경북 구미시 옥계북로 9 1층,(지번) 옥계동 890-2
무릉도원백숙,경북 구미시 산호대로29길 7-7,(지번) 옥계동 844-3
한돈참숯꼬기 신옥계점,경북 구미시 산호대로29길 20-14,(지번) 옥계동 835-5
개성수제만두전골&코다리,경북 구미시 산호대로29길 20-10,(지번) 옥계동 835-3
하삼동커피 옥계점,경북 구미시 옥계북로 40 103호,(지번) 옥계동 834-2
이가네돈뽈,경북 구미시 옥계남로 76-9,(지번) 옥계동 868-2
